Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Denmark,DNK,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,46610
Denmark,DNK,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,11.74894611
Denmark,DNK,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,31.89967872
Denmark,DNK,Forest area (% of land area),AG.LND.FRST.ZS,15.617
Denmark,DNK,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,37.4301676
Denmark,DNK,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Sweden,SWE,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,50050
Sweden,SWE,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,43.24115038
Sweden,SWE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,1.085030044
Sweden,SWE,Forest area (% of land area),AG.LND.FRST.ZS,68.69460607
Sweden,SWE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,43.5530086
Sweden,SWE,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Austria,AUT,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,75480
Austria,AUT,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,12.21287915
Austria,AUT,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,22.22204232
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,47.03332525
Austria,AUT,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,30.6010929
Austria,AUT,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,94.375
Belgium,BEL,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,111520
Belgium,BEL,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,15.1103274
Belgium,BEL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,39.21464312
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,22.76420079
Belgium,BEL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,39.33333333
Belgium,BEL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Czech Republic,CZE,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,122290
Czech Republic,CZE,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,18.95657256
Czech Republic,CZE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,55.91531907
Czech Republic,CZE,Forest area (% of land area),AG.LND.FRST.ZS,34.5601606
Czech Republic,CZE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,20
Czech Republic,CZE,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,91.25
Estonia,EST,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,18110
Estonia,EST,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.933236763
Estonia,EST,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,7.151771143
Estonia,EST,Forest area (% of land area),AG.LND.FRST.ZS,55.69381182
Estonia,EST,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,23.76237624
Estonia,EST,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,91.25
Finland,FIN,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,53550
Finland,FIN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,25.35131372
Finland,FIN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,16.18583903
Finland,FIN,Forest area (% of land area),AG.LND.FRST.ZS,73.73564542
Finland,FIN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,41.5
Finland,FIN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,97.5
France,FRA,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,430140
France,FRA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,49.06154063
France,FRA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,6.055787639
France,FRA,Forest area (% of land area),AG.LND.FRST.ZS,30.74748382
France,FRA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,26.16984402
France,FRA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Germany,DEU,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,847460
Germany,DEU,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,12.86361986
Germany,DEU,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,55.06305317
Germany,DEU,Forest area (% of land area),AG.LND.FRST.ZS,32.73232815
Germany,DEU,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,36.45007924
Germany,DEU,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,94.375
Greece,GRC,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,88180
Greece,GRC,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,6.202481177
Greece,GRC,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,71.12809232
Greece,GRC,Forest area (% of land area),AG.LND.FRST.ZS,30.27
Greece,GRC,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,19.66666667
Greece,GRC,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,97.5
Hungary,HUN,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,58330
Hungary,HUN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,18.45146344
Hungary,HUN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,36.55988399
Hungary,HUN,Forest area (% of land area),AG.LND.FRST.ZS,22.58185404
Hungary,HUN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10.1010101
Hungary,HUN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,96.875
Ireland,IRL,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,63350
Ireland,IRL,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,4.800148994
Ireland,IRL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,62.80650557
Ireland,IRL,Forest area (% of land area),AG.LND.FRST.ZS,10.95471041
Ireland,IRL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,16.26506024
Ireland,IRL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,95
Italy,ITA,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,416150
Italy,ITA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,6.327220594
Italy,ITA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,60.24676625
Italy,ITA,Forest area (% of land area),AG.LND.FRST.ZS,31.60766982
Italy,ITA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,30.95238095
Italy,ITA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,94.375
Luxembourg,LUX,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,10050
Luxembourg,LUX,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,3.713095342
Luxembourg,LUX,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,62.6596544
Luxembourg,LUX,Forest area (% of land area),AG.LND.FRST.ZS,36.50205761
Luxembourg,LUX,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,28.33333333
Luxembourg,LUX,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Netherlands,NLD,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,188330
Netherlands,NLD,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,3.373804806
Netherlands,NLD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,82.23312438
Netherlands,NLD,Forest area (% of land area),AG.LND.FRST.ZS,10.83546184
Netherlands,NLD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,37.33333333
Netherlands,NLD,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,97.5
Slovenia,SVN,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,16310
Slovenia,SVN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,28.22584774
Slovenia,SVN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,32.43571573
Slovenia,SVN,Forest area (% of land area),AG.LND.FRST.ZS,61.95823776
Slovenia,SVN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,36.66666667
Slovenia,SVN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,90.625
Slovak Republic,SVK,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,37770
Slovak Republic,SVK,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,27.4677924
Slovak Republic,SVK,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,19.97596876
Slovak Republic,SVK,Forest area (% of land area),AG.LND.FRST.ZS,39.96817936
Slovak Republic,SVK,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,18.66666667
Slovak Republic,SVK,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,94.375
Spain,ESP,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,325510
Spain,ESP,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,19.97537665
Spain,ESP,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,44.06714376
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,37.12753247
Spain,ESP,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,41.14285714
Spain,ESP,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,97.5
Bulgaria,BGR,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,57310
Bulgaria,BGR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0
Bulgaria,BGR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,50.40416889
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,35.30766396
Bulgaria,BGR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,20.41666667
Bulgaria,BGR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,90.625
Croatia,HRV,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,22690
Croatia,HRV,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0
Croatia,HRV,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,33.17316248
Croatia,HRV,Forest area (% of land area),AG.LND.FRST.ZS,33.96359781
Croatia,HRV,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,15.23178808
Croatia,HRV,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,93.75
Cyprus,CYP,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,8140
Cyprus,CYP,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0
Cyprus,CYP,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,91.21994264
Cyprus,CYP,Forest area (% of land area),AG.LND.FRST.ZS,18.69155844
Cyprus,CYP,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,12.5
Cyprus,CYP,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,88.75
Latvia,LVA,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,11500
Latvia,LVA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0
Latvia,LVA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,49.82830291
Latvia,LVA,Forest area (% of land area),AG.LND.FRST.ZS,54.58619025
Latvia,LVA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,18
Latvia,LVA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/28/2021,,,,
